date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_rating,away_rating,long,lat
2015-06-15,Chile,Mexico,3.0,3.0,Copa América,Santiago,Chile,False,1936,1893,9.8694792,-83.7980749
2015-06-15,Ecuador,Bolivia,2.0,3.0,Copa América,Valparaíso,Chile,True,1833,1628,-33.0458456,-71.6196749
2015-06-15,Morocco,Tunisia,1.0,1.0,African Nations Championship,Casablanca,Morocco,False,1541,1569,33.5950627,-7.6187768
2015-06-16,Argentina,Uruguay,1.0,0.0,Copa América,La Serena,Chile,True,2056,1912,-29.902631,-71.2520253
2015-06-16,Myanmar,South Korea,0.0,2.0,FIFA World Cup qualification,Bangkok,Thailand,True,1058,1734,13.7524938,100.4935089
2015-06-16,Japan,Singapore,0.0,0.0,FIFA World Cup qualification,Saitama,Japan,False,1770,1166,35.9754168,139.4160114
2015-06-16,Kyrgyzstan,Australia,1.0,2.0,FIFA World Cup qualification,Bishkek,Kyrgyzstan,False,1099,1731,42.8765615,74.6070079
2015-06-16,Turkmenistan,Iran,1.0,1.0,FIFA World Cup qualification,Daşoguz,Turkmenistan,False,1261,1738,41.3862117,58.5586047
2015-06-17,Brazil,Colombia,0.0,1.0,Copa América,Santiago,Chile,True,2065,2023,9.8694792,-83.7980749
2015-06-19,Mexico,Ecuador,1.0,2.0,Copa América,Rancagua,Chile,True,1893,1833,-34.170249,-70.7407427
2015-06-20,Argentina,Jamaica,1.0,0.0,Copa América,Viña del Mar,Chile,True,2056,1541,-33.0244535,-71.5517636
2015-06-20,Senegal,Gambia,3.0,1.0,African Nations Championship,Dakar,Senegal,False,1660,1338,14.693425,-17.447938
2015-06-20,Uruguay,Paraguay,1.0,1.0,Copa América,La Serena,Chile,True,1912,1687,-29.902631,-71.2520253
2015-06-21,Brazil,Venezuela,2.0,1.0,Copa América,Santiago,Chile,True,2065,1687,9.8694792,-83.7980749
2015-06-21,Morocco,Libya,3.0,0.0,African Nations Championship,Casablanca,Morocco,False,1541,1482,33.5950627,-7.6187768
2015-06-24,Chile,Uruguay,1.0,0.0,Copa América,Santiago,Chile,False,1936,1912,9.8694792,-83.7980749
2015-06-26,Argentina,Colombia,0.0,0.0,Copa América,Viña del Mar,Chile,True,2056,2023,-33.0244535,-71.5517636
2015-06-27,Brazil,Paraguay,1.0,1.0,Copa América,Concepción,Chile,True,2065,1687,-36.8270795,-73.0502399
2015-06-30,Argentina,Paraguay,6.0,1.0,Copa América,Concepción,Chile,True,2056,1687,-36.8270795,-73.0502399
2015-07-04,Chile,Argentina,0.0,0.0,Copa América,Santiago,Chile,False,1936,2056,9.8694792,-83.7980749
2015-07-07,United States,Honduras,2.0,1.0,Gold Cup,Frisco,United States,False,1825,1523,33.1506744,-96.8236116
2015-07-08,Costa Rica,Jamaica,2.0,2.0,Gold Cup,Carson,United States,True,1848,1541,35.3636563,-101.3353895
2015-07-08,El Salvador,Canada,0.0,0.0,Gold Cup,Carson,United States,True,1492,1522,35.3636563,-101.3353895
2015-07-09,Mexico,Cuba,6.0,0.0,Gold Cup,Chicago,United States,True,1893,1402,41.8755616,-87.6244212
2015-07-10,United States,Haiti,1.0,0.0,Gold Cup,Foxborough,United States,False,1825,1451,42.0653768,-71.2478308
2015-07-11,Costa Rica,El Salvador,1.0,1.0,Gold Cup,Houston,United States,True,1848,1492,29.7589382,-95.3676974
2015-07-11,Jamaica,Canada,1.0,0.0,Gold Cup,Houston,United States,True,1541,1522,29.7589382,-95.3676974
2015-07-12,Guatemala,Mexico,0.0,0.0,Gold Cup,Glendale,United States,True,1525,1893,34.1469416,-118.2478471
2015-07-13,United States,Panama,1.0,1.0,Gold Cup,Kansas City,United States,False,1825,1725,39.100105,-94.5781416
2015-07-14,Canada,Costa Rica,0.0,0.0,Gold Cup,Toronto,Canada,False,1522,1848,43.6534817,-79.3839347
2015-07-15,Trinidad and Tobago,Mexico,4.0,4.0,Gold Cup,Charlotte,United States,True,1517,1893,35.2272086,-80.8430827
2015-07-18,United States,Cuba,6.0,0.0,Gold Cup,Baltimore,United States,False,1825,1402,39.2908816,-76.610759
2015-07-19,Mexico,Costa Rica,1.0,0.0,Gold Cup,East Rutherford,United States,True,1893,1848,40.833989,-74.0970865
2015-07-22,Panama,Mexico,1.0,2.0,Gold Cup,Atlanta,United States,True,1725,1893,33.7489924,-84.3902644
2015-07-22,United States,Jamaica,1.0,2.0,Gold Cup,Atlanta,United States,False,1825,1541,33.7489924,-84.3902644
2015-07-25,United States,Panama,1.0,1.0,Gold Cup,Chester,United States,False,1825,1725,53.1908873,-2.8908955
2015-07-26,Jamaica,Mexico,1.0,3.0,Gold Cup,Philadelphia,United States,True,1541,1893,39.9527237,-75.1635262
2015-08-02,China,South Korea,0.0,2.0,EAFF Championship,Wuhan,China PR,False,1596,1734,30.5951051,114.2999353
